text,label
"II. 1. When the king heard that, he went (= then went he) westward with his army to Ashdown. 2. Lovest thou me more than these? 3. The men said that the shire which they lived in was called Halgoland. 4. All things were made (#wyrcan#) by God. 5. They were fighting for two days with (= against) the Danes. 6. King Alfred fought with the Danes, and gained the victory; but the Danes retained possession of the battle-field. 7. These men dwelt in England before they came hither. 8. I have not seen the book of (#ymbe#) which you speak (#sprecan#).",romantic
"117.1-2: #Ælfred kyning hāteð ... hāte#. Note the change from the formal and official third person (#hāteð#) to the more familiar first person (#hāte#). So Ælfric, in his _Preface to Genesis_, writes #Ælfric munuc grēt Æðelwærd ealdormann ēadmōdlīce. Þū bǣde mē, lēof, þæt ic#, etc.: _Ælfric, monk, greets Æthelweard, alderman, humbly. Thou, beloved, didst bid me that I_, etc.",romantic
"Old English literature has no love poems. The central themes of its poets are battle and bereavement, with a certain grim resignation on the part of the hero to the issues of either. The movement of the thought is usually abrupt, there being a noticeable poverty of transitional particles, or connectives, “which,” says Ten Brink, “are the cement of sentence-structure.”",romantic
"[The warriors all retire to rest except Beowulf. Grendel stealthily enters the hall. From his eyes gleams “a luster unlovely, likest to fire.” The combat begins at once.]",romantic
"Bāchsęcg, m., _Bagsac_. bæcbord, n., _larboard, left side of a ship_. bǣl, n., _funeral fire, funeral pile_. bān, n., _bone_. bān-fāg, _adorned with bones_ or _antlers_. bān-loca, m., _flesh_ [bone-locker]. Basengas, m. pl., _Basing_ (in Hantshire). be (bī) (§ 94, (1)), _by, about, concerning, near, along, according to_; be norðan þǣm wēstenne (§ 94, (4)), _north of the waste (desert)_; be fullan, _fully, perfectly_. bēag, see būgan. bēag-hroden, _ring-adorned_. bēah (bēag), m., _ring, bracelet, collar_ [būgan]. bealo-nīð, m., _dire hatred, poison, venom_. bearn, n., _child, son_ [bairn]. bebēodan (§ 109), _command, bid, entrust_ (with dat.). bebīo-, see bebēo-. bebohte, see bebycgan. bebycgan (§ 128), _sell_. bēc, see bōc. becuman (§ 114), _come, arrive, befall_. bedǣlan (§ 126), _separate, deprive_. bedrēosan (§ 109), _deprive_; past part. pl., bedrorene (bidrorene) [dross, dreary]. befǣstan (§ 127), _fasten, implant_. befēolan (§ 110), _apply one’s self_; ðāra ðe ðā spēda hæbben ðǣt",romantic
"fæc, n., _interval, space_. fæder (§ 68, (2)), m., _father_. fægen, _fain, glad, exultant_. fæger (fǣger), _fair, beautiful_. fǣlsian (§ 130), _cleanse_. fǣrlīce, _suddenly_ [fǣr = _fear_]. fæst, _fast, held fast_. fæste, adv., _fast, firmly_. fæstnung, f., _security, safety_. fæt, n., _vessel_ [wine-fat, vat]. fǣtels, m., _vessel_; acc. pl., fǣtels. fæðm, m., _embrace, bosom_ [fathom = the space _embraced_ by the extended arms]. fāg (fāh), _hostile_; hē wæs fāg wið God 142, 18 [[_Beowulf_ 812]] = _he was hostile to God_. fāh (fāg), _variegated, ornamented_. Falster, _Falster_ (island in the Baltic Sea). fandian (§ 130), _try, investigate_ [findan]. faran (§ 116), _go_ [fare]. feallan (§ 117), _fall, flow_. fealu, _fallow, pale, dark_; nom. pl. m., fealwe. fēawe (fēa, fēawa), pl., _few_. fela (indeclinable), _much, many_ (with gen.). feld (§ 51), m., _field_. fell (fel), n., _fell, skin, hide_. fēng, see fōn. fęn-hlið, n., _fen-slope_. fęn-hop, n., _fen-retreat_. feoh, n., _cattle, pro",romantic
"habban (§ 133), _have_. hād, m., _order, rank, office, degree_ [-hood, -head]. hæfta, m., _captive_. hægel (hagol), m., _hail_; instr. sing., hagle. hæglfaru, f., _hail-storm_ [hail-faring]. hæle, see hæleð. hǣl, f., _hail, health, good luck_. hæleð (hæle), m., _hero, warrior_. hǣt, see hātan. hǣðen, _heathen_. Hǣðum (æt Hǣðum), _Haddeby_ (= _Schleswig_). hāl, _hale, whole_. hālettan (§ 127), _greet, salute_ [to hail]. Halfdęne, _Halfdane_ (proper name). hālga, m., _saint_. Hālgoland, _Halgoland_ (in ancient Norway). hālig, _holy_. hālignes, f., _holiness_. hām, m., _home_; dat. sing., hāme, hām (p. 104, Note); used adverbially in hām ēode 112, 18 = _went home_. hand, see hǫnd. hār, _hoary, gray_. hāt, _hot_. hātan (§ 117, Note 2), _call, name, command_; pret. sing., heht, hēt. hātheort, _hot-hearted_. hātte, see hātan. hē, hēo, hit (§ 53), _he, she, it_. hēafod, n., _head_. hēah (§ 96, (2)), _high_; acc. sing, m., hēanne. hēah-sęle, m., _high hall_. hēahðungen, _highly prosperous, ari",romantic
"Lǣden, _Latin_. Lǣdengeðēode (-ðīode), n., _Latin language_. Lǣdenware (§ 47), m. pl., _Latin people, Romans_. lǣfan (§ 126), _leave_. lǣge, see licgan. Lǣland, n., _Laaland_ (in Denmark). lǣn, n., _loan_; tō lǣne 121, 2 = _as a loan_. lǣne, adj., _as a loan, transitory, perishable_. lǣran (§ 126), _teach, advise, exhort_ [lār]. lǣssa, lǣsta, see lȳtel. lǣstan (§ 127), _last, hold out_ (intrans.); _perform, achieve_ (trans.). lǣtan (§ 117), _let, leave_. lāf, f., _something left, remnant, heirloom_ (often a _sword_); tō lāfe, _as a remnant, remaining_. lagulād, f., _sea_ [lake-way, lād = _leading, direction, way_]. land, see lǫnd. lang, see lǫng. Langaland, n., _Langeland_ (in Denmark). lār, f., _lore, teaching_. lārcwide, m., _precept, instruction_, [cwide < cweðan]. lārēow, m., _teacher_ [lār + ðēow]. lāst, m., _track, footprint_ [shoemaker’s last]; on lāst(e), _in the track of, behind_ (with dat.). lāð, _loathsome, hateful_. lēas, _loose, free from, bereft of_ (with gen.). lēasung, ",romantic
"mā, see micle (§ 97, (2)). mæg, see magan. mǣg, m., _kinsman_; nom. pl., māgas (§ 27, (2)). mægen n., _strength, power_ [might and _main_]. mægen-ęllen, n., _main strength, mighty courage_. mǣgð, f., _tribe_. mægðhād, m., _maidenhood, virginity_. mǣl-gesceaft, f., _appointed time_ [mǣl = _meal, time_]. mǣran (§ 126), _make famous, honor_. mǣre, _famous, glorious, notorious_. mǣrðo (mǣrðo, mǣrð), f., _glory, fame_. mæsseprēost, m., _mass-priest_. mǣst, see micel. magan (§ 137), _be able, may_. māgas, see mǣg. magu (mago), m., _son, man_. maguðegn, m., _vassal, retainer_. man(n), see mǫn(n). mancus, m., _mancus, half-crown_; gen. pl., mancessa. māndǣd, f., _evil deed_. manig, see mǫnig. manigfeald, see mǫnigfeald. māra, see micel. maðelian (§ 130), _harangue, speak_. māðum (māððum), m., _gift, treasure, jewel_; gen. pl., māðma. māððumgyfa, m., _treasure-giver, lord_. māððum-wela, m., _wealth of treasure_. mē, see ic. meaht, f., _might, power_. meahte, see magan. mearc, f., _boundary, lim",romantic
"sǣ, f., _sea_. sǣ-bāt, m., _sea-boat_. sǣd, n., _seed_. sǣde, see sęcgan. sǣl, m., f., _time, happiness_ [sil-ly]; on sǣlum 137, 22 [[_Beowulf_ 644]] = _joyous, merry_. sǣlan (§ 126), _bind_. sǣ-līðend (§ 68, (3)), m., _seafarer_ (nom. and acc. pl. same as nom. and acc. sing.). sam ... sam, _whether ... or_. same, _similarly_; swā same, _just the same, in like manner_. samod, see sǫmod. sanct, m., f., _saint_ [Lat. sanctus]; gen. sing., sanctæ, f., sancti, m. sang, see sǫng. sār, f., n., _sore, pain, wound_. sār, adj., _sore, grievous_. sāre, _sorely_. sāwan (§ 117,) _sow_. sāwol, f., _soul_; oblique cases, sing., sāwle (§ 39, Note). scacan (sceacan) (§ 116), _shake, go, depart_; past part., scacen, sceacen. scadu-helm, m., _cover of night, shadow-covering_ [shadow-helm]; scadu-helma gesceapu, see Note on 138, 2-6 [[lines 647-51]]. sceal, see sculan. scēap, n., _sheep_. scēat, m., _corner, region, quarter_ [sheet]; eorðan scēatta 139, 14 [[_Beowulf_ 753]] = _in the regions of earth_ (g",romantic
"Danes, _Dęne_ (§ 47). day, _dæg_ (§ 26). dead, _dēad_ (§ 80). dear (= beloved), _lēof_ (§ 80). deed, _dǣd_ (§ 38). die, _cwelan_ (§ 114). division (of troops), _gefylce_ (§ 32), _getruma_ (§ 64). do, _dōn_ (§ 134). door, _dor_ (§ 32), _duru_ (§ 52). drink, _drincan_ (§ 110). during, _on_ (§ 94, (3)). See also § 98. dwell in, _būan on_ (§ 126, Note 2).",romantic
"gain the victory, _sige habban, sige niman_. gift, _giefu_ (§ 38). give, _giefan_ (with dative of indirect object) (§ 115). glad, _glæd_ (§ 81). glove, _glōf_ (§ 38). go, _gān_ (§ 134), _faran_ (§ 116). God, _God_ (§ 26). good, _gōd_ (§ 80).",romantic
"land, _lǫnd_ (§ 32). language, _sprǣc_ (§ 38), _geðēode_ (§ 32). large, _micel_ (§ 82). leisure, _ǣmetta_ (§ 64). let us, _uton_ (with infinitive). limb, _lim_ (§ 32). little, _lytel_ (§ 82). live in, _būan on_ (§ 126, Note 2). lord, _hlāford_ (§ 26). love, _lufian_ (§ 131). love (noun), _lufu_ (§ 38).",romantic
"_Walt Whitman has somewhere a fine and just distinction between “loving by allowance” and “loving with personal love.” This distinction applies to books as well as to men and women; and in the case of the not very numerous authors who are the objects of the personal affection, it brings a curious consequence with it. There is much more difference as to their best work than in the case of those others who are loved “by allowance” by convention, and because it is felt to be the right and proper thing to love them. And in the sect--fairly large and yet unusually choice--of Austenians or Janites, there would probably be found partisans of the claim to primacy of almost every one of the novels. To some the delightful freshness and humour of_ Northanger Abbey, _its completeness, finish, and_ entrain, _obscure the undoubted critical facts that its scale is small, and its scheme, after all, that of burlesque or parody, a kind in which the first rank is reached with difficulty._ Persuasion, _re",romantic
"_In the first place, the book (it may be barely necessary to remind the reader) was in its first shape written very early, somewhere about 1796, when Miss Austen was barely twenty-one; though it was revised and finished at Chawton some fifteen years later, and was not published till 1813, only four years before her death. I do not know whether, in this combination of the fresh and vigorous projection of youth, and the critical revision of middle life, there may be traced the distinct superiority in point of construction, which, as it seems to me, it possesses over all the others. The plot, though not elaborate, is almost regular enough for Fielding; hardly a character, hardly an incident could be retrenched without loss to the story. The elopement of Lydia and Wickham is not, like that of Crawford and Mrs. Rushworth, a_ coup de théâtre; _it connects itself in the strictest way with the course of the story earlier, and brings about the denouement with complete propriety. All the minor p",romantic
"_The characteristics of Miss Austen’s humour are so subtle and delicate that they are, perhaps, at all times easier to apprehend than to express, and at any particular time likely to be differently apprehended by different persons. To me this humour seems to possess a greater affinity, on the whole, to that of Addison than to any other of the numerous species of this great British genus. The differences of scheme, of time, of subject, of literary convention, are, of course, obvious enough; the difference of sex does not, perhaps, count for much, for there was a distinctly feminine element in “Mr. Spectator,” and in Jane Austen’s genius there was, though nothing mannish, much that was masculine. But the likeness of quality consists in a great number of common subdivisions of quality--demureness, extreme minuteness of touch, avoidance of loud tones and glaring effects. Also there is in both a certain not inhuman or unamiable cruelty. It is the custom with those who judge grossly to contr",romantic
"_Darcy has always seemed to me by far the best and most interesting of Miss Austen’s heroes; the only possible competitor being Henry Tilney, whose part is so slight and simple that it hardly enters into comparison. It has sometimes, I believe, been urged that his pride is unnatural at first in its expression and later in its yielding, while his falling in love at all is not extremely probable. Here again I cannot go with the objectors. Darcy’s own account of the way in which his pride had been pampered, is perfectly rational and sufficient; and nothing could be, psychologically speaking, a_ causa verior _for its sudden restoration to healthy conditions than the shock of Elizabeth’s scornful refusal acting on a nature_ ex hypothesi _generous. Nothing in even our author is finer and more delicately touched than the change of his demeanour at the sudden meeting in the grounds of Pemberley. Had he been a bad prig or a bad coxcomb, he might have been still smarting under his rejection, or ",romantic
"_Still, all this does not explain her charm, which, taking beauty as a common form of all heroines, may perhaps consist in the addition to her playfulness, her wit, her affectionate and natural disposition, of a certain fearlessness very uncommon in heroines of her type and age. Nearly all of them would have been in speechless awe of the magnificent Darcy; nearly all of them would have palpitated and fluttered at the idea of proposals, even naughty ones, from the fascinating Wickham. Elizabeth, with nothing offensive, nothing_ viraginous, _nothing of the “New Woman” about her, has by nature what the best modern (not “new”) women have by education and experience, a perfect freedom from the idea that all men may bully her if they choose, and that most will away with her if they can. Though not in the least “impudent and mannish grown,” she has no mere sensibility, no nasty niceness about her. The form of passion common and likely to seem natural in Miss Austen’s day was so invariably con",romantic
"_And, after all, what is the good of seeking for the reason of charm?--it is there. There were better sense in the sad mechanic exercise of determining the reason of its absence where it is not. In the novels of the last hundred years there are vast numbers of young ladies with whom it might be a pleasure to fall in love; there are at least five with whom, as it seems to me, no man of taste and spirit can help doing so. Their names are, in chronological order, Elizabeth Bennet, Diana Vernon, Argemone Lavington, Beatrix Esmond, and Barbara Grant. I should have been most in love with Beatrix and Argemone; I should, I think, for mere occasional companionship, have preferred Diana and Barbara. But to live with and to marry, I do not know that any one of the four can come into competition with Elizabeth._",romantic
"“Design? Nonsense, how can you talk so! But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes.”",romantic
"“You are over scrupulous, surely. I dare say Mr. Bingley will be very glad to see you; and I will send a few lines by you to assure him of my hearty consent to his marrying whichever he chooses of the girls--though I must throw in a good word for my little Lizzy.”",romantic
"“How good it was in you, my dear Mr. Bennet! But I knew I should persuade you at last. I was sure you loved your girls too well to neglect such an acquaintance. Well, how pleased I am! And it is such a good joke, too, that you should have gone this morning, and never said a word about it till now.”",romantic
"“What an excellent father you have, girls,” said she, when the door was shut. “I do not know how you will ever make him amends for his kindness; or me either, for that matter. At our time of life, it is not so pleasant, I can tell you, to be making new acquaintances every day; but for your sakes we would do anything. Lydia, my love, though you _are_ the youngest, I dare say Mr. Bingley will dance with you at the next ball.”",romantic
"Not all that Mrs. Bennet, however, with the assistance of her five daughters, could ask on the subject, was sufficient to draw from her husband any satisfactory description of Mr. Bingley. They attacked him in various ways, with barefaced questions, ingenious suppositions, and distant surmises; but he eluded the skill of them all; and they were at last obliged to accept the second-hand intelligence of their neighbour, Lady Lucas. Her report was highly favourable. Sir William had been delighted with him. He was quite young, wonderfully handsome, extremely agreeable, and, to crown the whole, he meant to be at the next assembly with a large party. Nothing could be more delightful! To be fond of dancing was a certain step towards falling in love; and very lively hopes of Mr. Bingley’s heart were entertained.",romantic
"The ladies of Longbourn soon waited on those of Netherfield. The visit was returned in due form. Miss Bennet’s pleasing manners grew on the good-will of Mrs. Hurst and Miss Bingley; and though the mother was found to be intolerable, and the younger sisters not worth speaking to, a wish of being better acquainted with _them_ was expressed towards the two eldest. By Jane this attention was received with the greatest pleasure; but Elizabeth still saw superciliousness in their treatment of everybody, hardly excepting even her sister, and could not like them; though their kindness to Jane, such as it was, had a value, as arising, in all probability, from the influence of their brother’s admiration. It was generally evident, whenever they met, that he _did_ admire her; and to _her_ it was equally evident that Jane was yielding to the preference which she had begun to entertain for him from the first, and was in a way to be very much in love; but she considered with pleasure that it was not l",romantic
"“It may, perhaps, be pleasant,” replied Charlotte, “to be able to impose on the public in such a case; but it is sometimes a disadvantage to be so very guarded. If a woman conceals her affection with the same skill from the object of it, she may lose the opportunity of fixing him; and it will then be but poor consolation to believe the world equally in the dark. There is so much of gratitude or vanity in almost every attachment, that it is not safe to leave any to itself. We can all _begin_ freely--a slight preference is natural enough; but there are very few of us who have heart enough to be really in love without encouragement. In nine cases out of ten, a woman had better show _more_ affection than she feels. Bingley likes your sister undoubtedly; but he may never do more than like her, if she does not help him on.”",romantic
"“Perhaps he must, if he sees enough of her. But though Bingley and Jane meet tolerably often, it is never for many hours together; and as they always see each other in large mixed parties, it is impossible that every moment should be employed in conversing together. Jane should therefore make the most of every half hour in which she can command his attention. When she is secure of him, there will be leisure for falling in love as much as she chooses.”",romantic
"“Well,” said Charlotte, “I wish Jane success with all my heart; and if she were married to him to-morrow, I should think she had as good a chance of happiness as if she were to be studying his character for a twelvemonth. Happiness in marriage is entirely a matter of chance. If the dispositions of the parties are ever so well known to each other, or ever so similar beforehand, it does not advance their felicity in the least. They always continue to grow sufficiently unlike afterwards to have their share of vexation; and it is better to know as little as possible of the defects of the person with whom you are to pass your life.”",romantic
"“That is exactly the question which I expected you to ask. A lady’s imagination is very rapid; it jumps from admiration to love, from love to matrimony, in a moment. I knew you would be wishing me joy.”",romantic
"“My dear Mr. Bennet, you must not expect such girls to have the sense of their father and mother. When they get to our age, I dare say they will not think about officers any more than we do. I remember the time when I liked a red coat myself very well--and, indeed, so I do still at my heart; and if a smart young colonel, with five or six thousand a year, should want one of my girls, I shall not say nay to him; and I thought Colonel Forster looked very becoming the other night at Sir William’s in his regimentals.”",romantic
"“Well, Jane, who is it from? What is it about? What does he say? Well, Jane, make haste and tell us; make haste, my love.”",romantic
"“I have an excessive regard for Jane Bennet,--she is really a very sweet girl,--and I wish with all my heart she were well settled. But with such a father and mother, and such low connections, I am afraid there is no chance of it.”",romantic
"“That is capital,” added her sister; and they both laughed heartily.",romantic
"To this speech Bingley made no answer; but his sisters gave it their hearty assent, and indulged their mirth for some time at the expense of their dear friend’s vulgar relations.",romantic
"Elizabeth thanked him from her heart, and then walked towards a table where a few books were lying. He immediately offered to fetch her others; all that his library afforded.",romantic
"“With all my heart: I will buy Pemberley itself, if Darcy will sell it.”",romantic
"“Oh dear, yes; but you must own she is very plain. Lady Lucas herself has often said so, and envied me Jane’s beauty. I do not like to boast of my own child; but to be sure, Jane--one does not often see anybody better looking. It is what everybody says. I do not trust my own partiality. When she was only fifteen there was a gentleman at my brother Gardiner’s in town so much in love with her, that my sister-in-law was sure he would make her an offer before we came away. But, however, he did not. Perhaps he thought her too young. However, he wrote some verses on her, and very pretty they were.”",romantic
"“And so ended his affection,” said Elizabeth, impatiently. “There has been many a one, I fancy, overcome in the same way. I wonder who first discovered the efficacy of poetry in driving away love!”",romantic
"“I have been used to consider poetry as the _food_ of love,” said Darcy.",romantic
"“Of a fine, stout, healthy love it may. Everything nourishes what is strong already. But if it be only a slight, thin sort of inclination, I am convinced that one good sonnet will starve it entirely away.”",romantic
"“Mr. Darcy is not to be laughed at!” cried Elizabeth. “That is an uncommon advantage, and uncommon I hope it will continue, for it would be a great loss to _me_ to have many such acquaintance. I dearly love a laugh.”",romantic
"Mrs. Bennet’s eyes sparkled. “A gentleman and a stranger! It is Mr. Bingley, I am sure. Why, Jane--you never dropped a word of this--you sly thing! Well, I am sure I shall be extremely glad to see Mr. Bingley. But--good Lord! how unlucky! there is not a bit of fish to be got to-day. Lydia, my love, ring the bell. I must speak to Hill this moment.”",romantic
"“You are very kind, sir, I am sure; and I wish with all my heart it may prove so; for else they will be destitute enough. Things are settled so oddly.”",romantic
"He was interrupted by a summons to dinner; and the girls smiled on each other. They were not the only objects of Mr. Collins’s admiration. The hall, the dining-room, and all its furniture, were examined and praised; and his commendation of everything would have touched Mrs. Bennet’s heart, but for the mortifying supposition of his viewing it all as his own future property. The dinner, too, in its turn, was highly admired; and he begged to know to which of his fair cousins the excellence of its cookery was owing. But here he was set right by Mrs. Bennet, who assured him, with some asperity, that they were very well able to keep a good cook, and that her daughters had nothing to do in the kitchen. He begged pardon for having displeased her. In a softened tone she declared herself not at all offended; but he continued to apologize for about a quarter of an hour.",romantic
"His plan did not vary on seeing them. Miss Bennet’s lovely face confirmed his views, and established all his strictest notions of what was due to seniority; and for the first evening _she_ was his settled choice. The next morning, however, made an alteration; for in a quarter of an hour’s _tête-à-tête_ with Mrs. Bennet before breakfast, a conversation beginning with his parsonage-house, and leading naturally to the avowal of his hopes, that a mistress for it might be found at Longbourn, produced from her, amid very complaisant smiles and general encouragement, a caution against the very Jane he had fixed on. “As to her _younger_ daughters, she could not take upon her to say--she could not positively answer--but she did not _know_ of any prepossession;--her _eldest_ daughter she must just mention--she felt it incumbent on her to hint, was likely to be very soon engaged.”",romantic
"Elizabeth found the interest of the subject increase, and listened with all her heart; but the delicacy of it prevented further inquiry.",romantic
"Till Elizabeth entered the drawing-room at Netherfield, and looked in vain for Mr. Wickham among the cluster of red coats there assembled, a doubt of his being present had never occurred to her. The certainty of meeting him had not been checked by any of those recollections that might not unreasonably have alarmed her. She had dressed with more than usual care, and prepared in the highest spirits for the conquest of all that remained unsubdued of his heart, trusting that it was not more than might be won in the course of the evening. But in an instant arose the dreadful suspicion of his being purposely omitted, for Mr. Darcy’s pleasure, in the Bingleys’ invitation to the officers; and though this was not exactly the case, the absolute fact of his absence was pronounced by his friend Mr. Denny, to whom Lydia eagerly applied, and who told them that Wickham had been obliged to go to town on business the day before, and was not yet returned; adding, with a significant smile,--",romantic
"The Longbourn party were the last of all the company to depart; and by a manœuvre of Mrs. Bennet had to wait for their carriage a quarter of an hour after everybody else was gone, which gave them time to see how heartily they were wished away by some of the family. Mrs. Hurst and her sister scarcely opened their mouths except to complain of fatigue, and were evidently impatient to have the house to themselves. They repulsed every attempt of Mrs. Bennet at conversation, and, by so doing, threw a languor over the whole party, which was very little relieved by the long speeches of Mr. Collins, who was complimenting Mr. Bingley and his sisters on the elegance of their entertainment, and the hospitality and politeness which had marked their behaviour to their guests. Darcy said nothing at all. Mr. Bennet, in equal silence, was enjoying the scene. Mr. Bingley and Jane were standing together a little detached from the rest, and talked only to each other. Elizabeth preserved as steady a silenc",romantic
"“You must give me leave to flatter myself, my dear cousin, that your refusal of my addresses are merely words of course. My reasons for believing it are briefly these:--It does not appear to me that my hand is unworthy of your acceptance, or that the establishment I can offer would be any other than highly desirable. My situation in life, my connections with the family of De Bourgh, and my relationship to your own, are circumstances highly in my favour; and you should take it into further consideration that, in spite of your manifold attractions, it is by no means certain that another offer of marriage may ever be made you. Your portion is unhappily so small, that it will in all likelihood undo the effects of your loveliness and amiable qualifications. As I must, therefore, conclude that you are not serious in your rejection of me, I shall choose to attribute it to your wish of increasing my love by suspense, according to the usual practice of elegant females.”",romantic
"“I do assure you, sir, that I have no pretensions whatever to that kind of elegance which consists in tormenting a respectable man. I would rather be paid the compliment of being believed sincere. I thank you again and again for the honour you have done me in your proposals, but to accept them is absolutely impossible. My feelings in every respect forbid it. Can I speak plainer? Do not consider me now as an elegant female intending to plague you, but as a rational creature speaking the truth from her heart.”",romantic
"Mr. Collins was not left long to the silent contemplation of his successful love; for Mrs. Bennet, having dawdled about in the vestibule to watch for the end of the conference, no sooner saw Elizabeth open the door and with quick step pass her towards the staircase, than she entered the breakfast-room, and congratulated both him and herself in warm terms on the happy prospect of their nearer connection. Mr. Collins received and returned these felicitations with equal pleasure, and then proceeded to relate the particulars of their interview, with the result of which he trusted he had every reason to be satisfied, since the refusal which his cousin had steadfastly given him would naturally flow from her bashful modesty and the genuine delicacy of her character.",romantic
"“Why will you think so? It must be his own doing; he is his own master. But you do not know _all_. I _will_ read you the passage which particularly hurts me. I will have no reserves from _you_. ‘Mr. Darcy is impatient to see his sister; and to confess the truth, _we_ are scarcely less eager to meet her again. I really do not think Georgiana Darcy has her equal for beauty, elegance, and accomplishments; and the affection she inspires in Louisa and myself is heightened into something still more interesting from the hope we dare to entertain of her being hereafter our sister. I do not know whether I ever before mentioned to you my feelings on this subject, but I will not leave the country without confiding them, and I trust you will not esteem them unreasonable. My brother admires her greatly already; he will have frequent opportunity now of seeing her on the most intimate footing; her relations all wish the connection as much as his own; and a sister’s partiality is not misleading me, I ",romantic
"“You shall have it in a few words. Miss Bingley sees that her brother is in love with you and wants him to marry Miss Darcy. She follows him to town in the hope of keeping him there, and tries to persuade you that he does not care about you.”",romantic
"“Indeed, Jane, you ought to believe me. No one who has ever seen you together can doubt his affection; Miss Bingley, I am sure, cannot: she is not such a simpleton. Could she have seen half as much love in Mr. Darcy for herself, she would have ordered her wedding clothes. But the case is this:--we are not rich enough or grand enough for them; and she is the more anxious to get Miss Darcy for her brother, from the notion that when there has been _one_ inter-marriage, she may have less trouble in achieving a second; in which there is certainly some ingenuity, and I dare say it would succeed if Miss de Bourgh were out of the way. But, my dearest Jane, you cannot seriously imagine that, because Miss Bingley tells you her brother greatly admires Miss Darcy, he is in the smallest degree less sensible of _your_ merit than when he took leave of you on Tuesday; or that it will be in her power to persuade him that, instead of being in love with you, he is very much in love with her friend.”",romantic
